labelset,cell_label,cell_fullname,n_cells,source,source_label,cell_count,partitioned,source_label_total,purity,coverage
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_HECA,Venous,378,378,6662,1.0,0.0567
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Lardenois2026,Endothelial,2,2,179,1.0,0.0112
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Lorenzi2025,Endothelial,1396,1397,7907,0.9993,0.1766
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Lorenzi2025,Endothelial Lymphatic,1,1397,509,0.0007,0.002
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Ven,668,1510,788,0.4424,0.8477
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Cap,658,1510,7359,0.4358,0.0894
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Cap_VCAN+_activated,168,1510,175,0.1113,0.96
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Cycling,7,1510,359,0.0046,0.0195
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Cap_LY6H+_angiogenic,4,1510,1048,0.0026,0.0038
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,PV_SMC_Arterial,2,1510,31802,0.0013,0.0001
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Art,2,1510,2153,0.0013,0.0009
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_OvarySanger2026,Endo_Cap_CA2+_angiogenic,1,1510,7,0.0007,0.1429
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2022,blood vessel endothelial cell,213,214,3418,0.9953,0.0623
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2022,endothelial cell of lymphatic vessel,1,214,2093,0.0047,0.0005
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,PCV,2378,3119,3751,0.7624,0.634
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,tPCV,466,3119,3680,0.1494,0.1266
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,aPCV,178,3119,2402,0.0571,0.0741
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,Capillary,47,3119,1656,0.0151,0.0284
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,HEV,26,3119,616,0.0083,0.0422
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,EndoMT,11,3119,125,0.0035,0.088
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,HMGB2-Prolif,10,3119,1402,0.0032,0.0071
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,Artery,1,3119,1128,0.0003,0.0009
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,MUC16+_Gland_sec,1,3119,1447,0.0003,0.0007
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Ulrich2024,Gland-sec-progenitor-A,1,3119,4403,0.0003,0.0002
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Weigert2025,endothelial cell,586,588,4780,0.9966,0.1226
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_Weigert2025,endothelial cell of lymphatic vessel,2,588,2789,0.0034,0.0007
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_GarciaAlonso2021,Endothelial ACKR1,1827,1842,5413,0.9919,0.3375
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_GarciaAlonso2021,Endothelial SEMA3G,15,1842,324,0.0081,0.0463
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_HECA,Venous,982,1052,6662,0.9335,0.1474
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_HECA,Arterial,70,1052,815,0.0665,0.0859
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_OvarySanger2026,Endo_Cap,187,303,7359,0.6172,0.0254
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_OvarySanger2026,Endo_Ven,58,303,788,0.1914,0.0736
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_OvarySanger2026,Endo_Art,50,303,2153,0.165,0.0232
